record_type,ledger_index,regime,interval_s,tx_count,send_spacing_s,policy,t95_propagation_s,num_sends,estimated_bandwidth_bps,reachability,network_load_index,queueing_load_scale_s,queueing_fanout_exponent
workload,100153.0,NORMAL,3.1072904029202744,10.0,0.3107290402920274,,,,,,,,
workload,100154.0,NORMAL,2.8344647177902886,18.0,0.15747026209946047,,,,,,,,
workload,100155.0,NORMAL,2.741008000703652,10.0,0.2741008000703652,,,,,,,,
workload,100156.0,NORMAL,2.4559672513814417,10.0,0.24559672513814418,,,,,,,,
workload,100157.0,NORMAL,2.822629748602672,7.0,0.40323282122895315,,,,,,,,
workload,100158.0,NORMAL,2.1196309380018667,6.0,0.3532718230003111,,,,,,,,
workload,100159.0,NORMAL,2.6243073894805056,18.0,0.1457948549711392,,,,,,,,
workload,100160.0,NORMAL,2.4218920318460073,10.0,0.24218920318460074,,,,,,,,
workload,100161.0,NORMAL,2.6270888695815655,10.0,0.26270888695815653,,,,,,,,
workload,100162.0,NORMAL,2.60984017005821,13.0,0.20075693615832385,,,,,,,,
workload,100163.0,NORMAL,2.7203503780826614,22.0,0.12365228991284825,,,,,,,,
workload,100164.0,NORMAL,3.2283970373782935,9.0,0.3587107819309215,,,,,,,,
workload,100165.0,STRESSED,3.126077503910129,19.0,0.16453039494263838,,,,,,,,
workload,100166.0,STRESSED,3.4125309996364246,14.0,0.2437522142597446,,,,,,,,
workload,100167.0,STRESSED,3.526294009866762,27.0,0.1306034818469171,,,,,,,,
workload,100168.0,BURST,2.2780191726910366,38.0,0.059947872965553595,,,,,,,,
workload,100169.0,NORMAL,2.6194365393689125,13.0,0.20149511841299328,,,,,,,,
workload,100170.0,NORMAL,2.6109838800197616,4.0,0.6527459700049404,,,,,,,,
workload,100171.0,NORMAL,3.2016409254510165,12.0,0.2668034104542514,,,,,,,,
workload,100172.0,NORMAL,2.2698178483932296,3.0,0.7566059494644098,,,,,,,,
workload,100173.0,STRESSED,4.8825845579951705,24.0,0.20344102324979876,,,,,,,,
workload,100174.0,STRESSED,3.4339611109764094,10.0,0.34339611109764095,,,,,,,,
workload,100175.0,STRESSED,3.2152526685903595,19.0,0.1692238246626505,,,,,,,,
workload,100176.0,STRESSED,3.36031977548694,27.0,0.12445628798099778,,,,,,,,
workload,100177.0,NORMAL,3.0275019756386254,16.0,0.1892188734774141,,,,,,,,
workload,100178.0,NORMAL,2.4436101642261123,14.0,0.17454358315900803,,,,,,,,
workload,100179.0,NORMAL,3.217029978690643,8.0,0.40212874733633036,,,,,,,,
workload,100180.0,NORMAL,2.7615118403917056,10.0,0.27615118403917055,,,,,,,,
workload,100181.0,NORMAL,2.6027993598882886,6.0,0.43379989331471475,,,,,,,,
workload,100182.0,STRESSED,3.4260915138408214,10.0,0.34260915138408216,,,,,,,,
workload,100183.0,STRESSED,2.8662976020400714,34.0,0.0843028706482374,,,,,,,,
workload,100184.0,STRESSED,2.7412613480618844,9.0,0.3045845942290983,,,,,,,,
workload,100185.0,BURST,2.2245022444278235,41.0,0.054256152303117644,,,,,,,,
workload,100186.0,STRESSED,3.068984493959607,22.0,0.13949929517998214,,,,,,,,
workload,100187.0,STRESSED,3.586701347377066,27.0,0.13284079064359502,,,,,,,,
workload,100188.0,BURST,2.366250627077291,53.0,0.04464623824674134,,,,,,,,
